x,y,v
Binary_Extreme_1b,Unary_2,0.003021627638625235
Binary_Extreme_1b,Correlated_1,0.19777322911294382
Binary_Extreme_1b,Correlated_2,0.19443989577961052
Binary_Extreme_2,Trinary_Balanced_1,0.0020372008020873474
Binary_Extreme_2,Trinary_Balanced_2,0.0020372008020873474
Binary_Extreme_2,Trinary_Skewed_1a,0.05113145515677801
Binary_Extreme_2,Trinary_Skewed_1b,0.05113145515677801
Binary_Extreme_2,Trinary_Skewed_2,0.5293608652873645
Binary_Extreme_2,Trinary_Extreme_1a,0.011435488583754205
Binary_Extreme_2,Trinary_Extreme_1b,0.011435488583754205
Binary_Extreme_2,Trinary_Extreme_2,0.5293608652873646
Binary_Extreme_2,Quaternary_Balanced_1,0.016955884288332224
Binary_Extreme_2,Quaternary_Balanced_2,0.016955884288332224
Binary_Extreme_2,Quaternary_Skewed_1a,0.0808151278239047
Binary_Extreme_2,Quaternary_Skewed_1b,0.0808151278239047
Binary_Extreme_2,Quaternary_Skewed_2,0.4117766144892272
Binary_Extreme_2,Quaternary_Extreme_1a,0.01950230938974974
Binary_Extreme_2,Quaternary_Extreme_1b,0.01950230938974974
Binary_Extreme_2,Quaternary_Extreme_2,0.46039489576496706
Binary_Extreme_2,Continuous_Normal,0.0
Binary_Extreme_2,Continuous_Skewed,0.0
Binary_Extreme_2,Continuous_Binary_Normal_1,0.0
Binary_Extreme_2,Continuous_Binary_Normal_2,0.0
Binary_Extreme_2,Continuous_Trinary_Normal,0.028260942723834503
Binary_Extreme_2,Continuous_Quaternary_Normal,0.017922606147792175
Binary_Extreme_2,Continuous_Binary_Skewed,0.0
Binary_Extreme_2,Continuous_Trinary_Skewed,0.0
Binary_Extreme_2,Continuous_Quaternary_Skewed,0.009634825406731773
Binary_Extreme_2,Unary_1,0.01556057745295214
Binary_Extreme_2,Unary_2,0.0
Binary_Extreme_2,Correlated_1,0.33295151243084875
Binary_Extreme_2,Correlated_2,0.3354515124308488
Trinary_Balanced_1,Trinary_Balanced_2,1.5705750531512883
Trinary_Balanced_1,Trinary_Skewed_1a,0.014329428273616497
Trinary_Balanced_1,Trinary_Skewed_1b,0.014329428273616497
Trinary_Balanced_1,Trinary_Skewed_2,0.004619619637139161
Trinary_Balanced_1,Trinary_Extreme_1a,0.022625575257431578
Trinary_Balanced_1,Trinary_Extreme_1b,0.022625575257431578
